Name,Province,Website,Address,City,Region,,,,REGION - Alberta,
Masjid Toronto (Dundas),Ontario,http://www.masjidtoronto.com/,"168 Dundas St W, Toronto, ON M5G 1C6",Downtown Toronto,Toronto,,,,,
Masjid umar farooq,Ontario,https://kemptvillemuslims.ca/,"417 Rideau St, Kemptville, ON K0G 1J0",Kemptville,,,,,,
Masjid Usman(Pickering Islamic Centre),Ontario,www.masjid.ca,"2065 Brock Rd N, Pickering, ON L1X 0K2",Pickering,Durham Region,,,,,
Masjid Vaughan,Ontario,http://masjidvaughan.ca/,"9954 Keele St, Maple, ON L6A 3Y4",Vaughan,York Region,,,,,
Masjid Zakariya,Ontario,http://masjidzakariya.com/,"11140 Sheppard Ave E, Scarborough, ON M1B 3W5",Scarborough,Toronto,,,,,
Masjid-E-Aqsa,Ontario,http://www.masjidaqsabrampton.org/,"30 Rambler Dr, Brampton, ON L6W 1E2",Brampton,Peel Region,,,,,
Masjid-El-Noor,Ontario,http://www.masjidelnoor.ca/,"3277 Scott Rd, York, ON M6M 3V3",York,Toronto,,,,,
Masjidur Rahmah,Ontario,https://centraltorontoislamicfoundation.com/,"328 Parliament St, Toronto, ON M5A 2Z7",Downtown Toronto,Toronto,,,,,
Meadowvale Islamic Centre,Ontario,https://mici.org/,"6508 Winston Churchill Blvd, Mississauga, ON L5N 3W4",Mississauga,Peel Region,,,,,
Mecca Islamic Center,Ontario,https://meccacenter.ca/,"3234 Eglinton Ave E, Scarborough, ON M1J 2H6",Scarborough,Toronto,,,,,
Mesjid Al Sabur,Ontario,https://www.mesjidalsabur.ca/,"4081 Dufferin St, North York, ON M3H 5R8",North York,Toronto,,,,,
Mevlana Masjid,Ontario,https://a-than.info/vv.php?code=MEVLANA01,"951 Wilson Ave #7, North York, ON M3K 2A7
",North York,Toronto,,,,,
Mississauga Muslim Community Center,Ontario,https://mmcc-canada.org/,"2505 Dixie Rd, Mississauga, ON L4Y 2A1",Mississauga,Peel Region,,,,,
Mosque Aisha,Ontario,https://www.mosqueaisha.ca/,"5550 Stanley Ave, Niagara Falls, ON, Canada",Niagara Falls,Niagara Region,,,,,
Mosque Aisha Thorold,Ontario,https://www.mosqueaisha.ca/,"70 St David St E, Thorold, ON L2V 4V4, Canada",Thorold,Niagara Region,,,,,
Muslim Association of Canada (MAC) Westmount Centre,Ontario,https://centres.macnet.ca/westmount/,"312 Commissioners Rd W Unit 5, London, ON N6J 1Y3",London,,,,,,
Halton Islamic Community Centre (HICC) - Muslim Association Of Milton (MAM),Ontario,,"4269 Regional Road 25, Oakville, ON, Canada",Oakville,Halton Region,,,,,
Halton Learning Centre Musallah (HLC) - Muslim Association Of Milton (MAM),Ontario,https://miltonmasjid.com/,"4269 Regional Rd 25, Oakville, ON L9E 0K2",Milton,Halton Region,,,,,
Muslim Association of Woodstock Ontario,Ontario,http://www.muslimassociationwoodstock.com/,"690 Sutherland Dr, Woodstock, ON N4S 4Y5, Canada",Woodstock,Oxford County,,,,,
Muslim Circle of Canada Masjid,Ontario,https://www.mccsmasjid.org/,"B-3545 Kingston Rd, Scarborough, ON M1M 1R6",Scarborough,Toronto,,,,,
Muslim Neighbour Nexus,Ontario,http://mnnexus.ca/,"3520 Odyssey Dr, Mississauga, ON L5M 0Y9",Mississauga,Peel Region,,,,,
Muslim Salahuddin Mosque room,Ontario,http://salaheddin.org/,"741 Kennedy Rd, Scarborough, ON M1K 2C6",Scarborough,Toronto,,,,,
Muslim Society Of Waterloo & Wellington Counties,Ontario,http://waterloomasjid.com/,"213 Erb St W, Waterloo, ON N2L 1V6, Canada",Waterloo,Waterloo Region,,,,,
Muslim Welfare Center - Mussalah Al-Abbas,Ontario,http://www.muslimwelfarecentre.com/,"3490 Mavis Rd, Mississauga, ON L5C 1T8",Mississauga,Peel Region,,,,,
Nejashi Islamic Center,Ontario,http://www.nejashi.ca/,"171 McCormack St, York, ON M6N 1X8",York,Toronto,,,,,
Newcastle Muslim Community (Masjid),Ontario,http://www.newcastlemuslim.ca/,"225 King Ave E, Newcastle, ON L1B 1H4",Clarington,Durham Region,,,,,
Newmarket Islamic Centre,Ontario,http://nmic.ca/,"700 Mulock Dr, Newmarket, ON L3Y 9C1, Canada",Newmarket,York Region,,,,,
NICE North-Valley Islamic Centre,Ontario,http://nice-canada.com/,"423 Wanless Dr, Unit #107, Brampton, ON L7A 0N9, Canada",Brampton,Peel Region,,,,,
Nigerian Canadian Muslim Association,Ontario,https://www.nigeriancanadianmuslim.com/,"190 Milvan Drive, Unit #7, Toronto, ON M9L 1Z9, Canada",North York,Toronto,,,,,
NOOR UL QURAN Canada,Ontario,https://noorulqurancanada.com/,"3154 Hurontario St, Mississauga, ON L5B 1N9",Mississauga,Peel Region,,,,,
North American Muslim Foundation,Ontario,http://www.namf.ca/,"4140 Finch Ave E, Scarborough, ON M1S 3T9",Scarborough,Toronto,,,,,
North Bay Mosque,Ontario,https://masjidbox.com/prayer-times/northbaymosque,"423 McPhail St, North Bay, ON P1B 5Z1",North Bay,Northern Ontario,,,,,
North End Centre (a project of MAB),Ontario,https://brantfordmosque.ca/,"627 Park Rd N #8, Brantford, ON N3T 5L8",Brantford,Brant County,,,,,
North London Islamic Centre,Ontario,https://www.northlondonislamiccentre.com/,"23266 Nairn Rd, Komoka, ON N0L 1R0",Komoka,Middlesex County,,,,,
North York Muslim Association,Ontario,https://www.northyorkma.com/,"Concourse Level, C37 - 5150 Yonge St, North York, ON M2N 6L8",North York,Toronto,,,,,
Northern Muslim Association,Ontario,https://nmasudbury.com/,"468 Antwerp Ave, Greater Sudbury, ON P3C 4N1",Sudbury,Northern Ontario,,,,,
Okba Islamic Centre,Ontario,https://okbacentre.org/,"2370 Midland Ave Unit a5, Scarborough, ON M1S 1P8",Scarborough,Toronto,,,,,
Orangeville Muslim Community Centre,Ontario,https://orangevillemosque.ca/,"51 Townline Ste. 2, Orangeville, ON L9W 1V1",Orangeville,Dufferin County,,,,,
Ottawa Muslim Association,Ontario,http://www.ottawamosque.ca/,"251 Northwestern Ave, Ottawa, ON",Central Ottawa,Ottawa,,,,,
Ottawa South Mosque,Ontario,https://ottawasouthmosque.ca/,"240 Sunnyside Ave, Ottawa, ON K1S 0R4",Central Ottawa,Ottawa,,,,,
Ottawa Valley Islamic Centre (OVIC),Ontario,http://www.ovicentre.org/,"30 Mcelligott Dr, Deep River, ON K0J 1P0",Deep River,Renfrew County,,,,,
Owen Sound Muslim Association,Ontario,https://www.osmuslim.ca/,"895 7th St E, Owen Sound, ON N4K 1K2",Owen Sound,Grey County,,,,,
Peace Community Center,Ontario,http://peacecommunitycenter.com/,"6735 Caledonia St, Niagara Falls, ON, Canada",Niagara Falls,Niagara Region,,,,,
Pembroke Islamic Centre,Ontario,https://pembrokeislamiccentre.ca/,"360a Pembroke St W, Pembroke, ON K8A 4N8",Pembroke,Renfrew County,,,,,
Peterborough Lakefield Mosque Masjid (Ahle Sunnah Wal Jamaah),Ontario,https://peterboroughmosque.ca/,"1349 Buckhorn Rd, Selwyn, ON K0L 2H0",Lakefield,Peterborough County,,,,,
Port Elgin Islamic Centre,Ontario,https://portelginic.com/,"MAPLE SQUARE MALL, 515 Goderich St Unit 107 & 108, Port Elgin, ON N0H 2C1",Port Elgin,Bruce County,,,,,
Port perry mosque,Ontario,https://ppmacanada.org/,"1625 Scugog St, Port Perry, ON L9L 1K6",Port Perry,Durham Region,,,,,
Qasimul Uloom Islamic Centre Canada,Ontario,https://qasimululoomcanada.com/,"Streetsville Plaza, 51 Queen St N, Mississauga, ON L5N 1A1",Mississauga,Peel Region,,,,,
Quraan and Hadeeth Society of Canada,Ontario,https://qhsc.org/,"2183A Lawrence Ave E, Scarborough, ON M1P 2P8",Scarborough,Toronto,,,,,
Rahmat Centre,Ontario,http://rahmatcentre.blogspot.com/?m=1,"9853 Leslie St, Richmond Hill, ON L4B 3Y4",Richmond Hill,York Region,,,,,
Regent Park Islamic Resource Centre (Masjid),Ontario,https://rpirc.ca/,"246 Sackville St, Toronto, ON M5A 3S4",Downtown Toronto,Toronto,,,,,
Rexdale Jame Masjid,Ontario,http://rexdalemasjid.ca/,"127 Westmore Dr Unit 107, Etobicoke, ON M9V 3Y6",Etobicoke,Toronto,,,,,
Richmond Hill Muslim Association,Ontario,http://rhmacanada.com/,"155 East Beaver Creek Rd, Unit 16, Richmond Hill, ON L4B 2N1",Richmond Hill,York Region,,,,,
Richmond Islamic Community Ottawa,Ontario,https://ricottawa.ca/,"6179 Perth St Unit 30, Richmond, ON K0A 2Z0",South Ottawa,Ottawa,,,,,
Rose City Islamic Centre (RCIC),Ontario,https://centres.macnet.ca/rcic,"5420 Empress St, Windsor, ON N8T 1B4",Windsor,Essex County,,,,,
Sarnia Muslim Association,Ontario,http://sarniamuslim.com/,"1609 London Line, Sarnia, ON N7W 1A9",Sarnia,Lambton County,,,,,
Sayeda Khadija Centre,Ontario,http://www.sayedakhadijacentre.com/,"7150 Edwards Blvd, Mississauga, ON L5S 1Z1",Mississauga,Peel Region,,,,,
Sayyidah Aminah Islamic Centre,Ontario,http://saicancaster.com/,"1085 Southcote Rd, Ancaster, ON L9G 3L1",Hamilton,,,,,,
Sayyidah Fatemah Islamic Centre,Ontario,http://miltonmosque.com/,"4487 Henderson Rd, Milton, ON L9E 0K2",Milton,Halton Region,,,,,
Scarborough Muslim Association - Jame Abu Bakr Siddique Masjid,Ontario,https://www.smacanada.ca/,"2665 Lawrence Ave E, Scarborough, ON M1P 2S2",Scarborough,Toronto,,,,,
Scarborough Muslim Cultural Centre,Ontario,https://scarboroughmuslims.ca/,"3861 Lawrence Ave E, Scarborough, ON",Scarborough,Toronto,,,,,
School Madaniyya Academy,Ontario,https://madaniyyaacademy.org/,"3930 Nashua Dr, Mississauga, ON L4V 1M5",Mississauga,Peel Region,,,,,
Seminary Of Sacred Knowledge - Masjid,Ontario,https://seminaryofsk.com/,"6101 Essex County Rd 20, Amherstburg, ON N0R 1G0",Amhertsburg,Essex County,,,,,
Shalimar Islamic Centre,Ontario,https://shalimarislamiccentre.ca/,"79-3024 Cedarglen Gate, Mississauga, ON L5C 4S3, Canada",Mississauga,Peel Region,,,,,
SNMC Mosque,Ontario,http://www.snmc.ca/,"3020 Woodroffe Ave, Nepean, ON K2J 4G3, Canada",South Ottawa,Ottawa,,,,,
Spiritual Society Canada inc.,Ontario,https://ssci.ad-din.site/,"4 Old Kingston Rd, Scarborough, ON, Canada",Scarborough,Toronto,,,,,
St. Thomas Islamic Centre,Ontario,https://stislamiccentre.com/,"55 Southwick St, St. Thomas, ON N5R 3S3, Canada",St. Thomas,Elgin County,,,,,
Stittsville Muslims Association,Ontario,http://www.stittsvillemuslims.ca/,"1469 Stittsville Main St, Stittsville, ON K2S 1E3",West Ottawa,Ottawa,,,,,
Stratford Mosque,Ontario,https://stratfordmosque.ca/,"97 Woods St, Stratford, ON N5A 1M2, Canada",Stratford,Perth County,,,,,
Taaseen Musalla,Ontario,,"54 Chesterwood Cres, Brampton, ON L6Y 0Z4",Brampton,Peel Region,,,,,
Taha Musalla,Ontario,,"499 Ray Lawson Blvd, Brampton, ON L6Y 0N2",Brampton,Peel Region,,,,,
Talimul Islam Masjid,Ontario,https://talimul.com/,"86 Rivalda Rd, North York, ON M9M 2M8",North York,Toronto,,,,,
Tarbiyah Centre,Ontario,https://iswindsor.ca/,"1955 Provincial Rd, Units 2 & 3, Windsor, ON, Canada",Windsor,Essex County,,,,,
Tawfeeq Mosque,Ontario,https://torontotic.com/,"7 Oak St, York, ON M9N 1R7",York,Toronto,,,,,
The Ottawa Islamic Centre and Assalam Mosque,Ontario,https://assalammosque.com/,"Unit 100, 2335 St. Laurent Blvd, Ottawa, ON K1G 5G6, Canada",East Ottawa,Ottawa,,,,,
The Quran & Sunnah Society of Canada Masjid,Ontario,http://qssc.org/,"1865 Lawrence Ave E, Scarborough, ON M1R 2Y3",Scarborough,Toronto,,,,,
The Sunatul Jamaat of Ontario Canada,Ontario,https://sunatuljamaat.com/,"347 Danforth Rd, Scarborough, ON M1L 3X8, Canada",Scarborough,Toronto,,,,,
Thompson Musallah (Basement),Ontario,,"9149 Derry Rd Basement, Milton, ON L9T 7Y9",Milton,Halton Region,,,,,
Thunder Bay Masjid,Ontario,http://thunderbaymasjid.ca/,"591 John St, Thunder Bay, ON P7B 1Y8, Canada",Thunder Bay,Thunder Bay District,,,,,
Timmins Islamic Centre,Ontario,,"36 Pine St S, Timmins, ON P4N 2J8",Timmins,Cochrane District,,,,,
Toronto and Region Islamic Congregation,Ontario,http://www.taric.org/,"99 Beverly Hills Dr, Toronto, ON M3L 1A2, Canada",North York,Toronto,,,,,
Toronto Hifz Academy,Ontario,https://torontohifzacademy.com/,"45 Overlea Blvd Unit 201, East York, ON M4H 1C3",East York,Toronto,,,,,
Toronto Islamic Centre & Community Services,Ontario,http://www.torontoislamiccentre.com/,"817 Yonge St, Toronto, ON M4W 2G9",Downtown Toronto,Toronto,,,,,
Townline Muslim Centre,Ontario,http://www.townlinemuslimcentre.ca/,"1170 Townline Rd, Cambridge, ON N1T 2G3",Cambridge,Waterloo Region,,,,,
Turkish Canadian Islamic Trust,Ontario,http://www.papecami.com/,"336 Pape Ave, Toronto, ON M4M 2W7",East Toronto,Toronto,,,,,
Umar Mosque,Ontario,https://www.hamiltonmosque.com/,"734 Rennie St, Hamilton, ON L8H 3R2",Hamilton,,,,,,
Ummah Foundation Of Durham,Ontario,http://ummahfoundation.ca/,"1423 Thornton Rd N, Oshawa, ON L1L 0P6",Oshawa,Durham Region,,,,,
Ummah Nabawiah Masjid,Ontario,http://www.theunm.com/,"2074 Kipling Ave, Etobicoke, ON M9W 4J9",Etobicoke,Toronto,,,,,
Ummati learning center and Mosque,Ontario,https://ummaticentre.ca/,"205 County Court Blvd, Brampton, ON, Canada",Brampton,Peel Region,,,,,
Vaughan Islamic Community Centre,Ontario,https://viccprayertimings.com/,"3175 Rutherford Rd, Unit 62, Vaughan, ON L4K 5Y6",Vaughan,York Region,,,,,
West End Islamic Center,Ontario,https://www.weicenter.ca/,"4161 Sladeview Crescent #12-13, Mississauga, ON L5L 5R3",Mississauga,Peel Region,,,,,
Weston Islamic Benevolence Society,Ontario,https://westonislamic.ca/,"4220 Steeles Ave W, Woodbridge, ON",North York,Toronto,,,,,
Windsor Mosque,Ontario,https://windsorislamicassociation.com/,"1320 Northwood St, Windsor, ON N9E 1A4",Windsor,Essex County,,,,,
WMC Wilmot Muslim Centre,Ontario,https://wilmotmuslimcentre.ca/,"1000 Knechtel Ct, Wilmot, ON N0B 1E0",Wilmot,Waterloo Region,,,,,
WMCC (Waterdown Muslim Community Centre),Ontario,https://www.wmcc.ca/,"20 Innovation Dr, Dundas, ON L9H 7P3",Hamilton,,,,,,
Yaseen Musalla,Ontario,,"9715 James Potter Rd, Brampton, ON L6X 3B9",Brampton,Peel Region,,,,,
Zawiya Fellowship - Annoor Jami Mosque,Ontario,https://zawiyafellowship.com/,"55 Victoria Ave, Cambridge, ON N1S 1X2",Cambridge,Waterloo Region,,,,,
Centretown Mosque,Ontario,https://centretownmosque.ca/,397 Kent Street,Central Ottawa,Ottawa,,,,,
Dar As-Salam Mosque,Prince Edward Island,https://muslimpei.com/,"15 MacAleer Dr, Charlottetown, PE C1E 2A1",Charlottetown,Charlottetown Region,,,,,
Ach-choura Mosque,Québec,http://achoura.ca/,5434 Boul Henri-Bourassa E,Montréal-Nord,Montréal Region,,,,,
Acibf | Cultural Association Islamique Des Bois-Francs,Québec,,1521 Rue Notre Dame O,Victoriaville,Centre-du-Québec,,,,,
ACMlS - Mosquée La Sarre,Québec,,"364 local B Rue Principale, La Sarre, QC J9Z 1Z5",La Sarre,Abitibi-Ouest,,,,,
Aisha Islamic Center,Québec,https://aishaic.org/,425 Rue de l’Aqueduc,Montréal,Montréal Region,,,,,
Al-Andalous Islamic Center,Québec,https://www.icandalous.ca/,816 Ste-Croix (also 970 Blvd Décarie),Saint-Laurent,Montréal Region,,,,,
Al-Madinah Center,Québec,https://almadinah-center.org/,"1260 Rue Mackay, Montréal, QC H3G 2H4",Montréal,Montréal Region,,,,,
Al-Rawdah Masjid,Québec,https://centres.macnet.ca/alrawdah/fr/,12253 Blvd Laurentien,Montréal,Montréal Region,,,,,
AlSalam Masjid mosque,Québec,,1177 Rue de la Montagne,Montréal,Montréal Region,,,,,
Annour Mosque,Québec,,"794 Av. Myrand, Québec, QC",Québec City,Capitale-Nationale,,,,,
Association de la mosquee de beauport,Québec,http://www.mosqueebeauport.ca/,"2268 Av. Larue, Québec, QC",Québec City,Capitale-Nationale,,,,,
Association de la paix de Chambly,Québec,https://www.apchambly.com/,"1691C Bd de Périgny, Chambly, QC",Chambly,Montérégie,,,,,
Association socio-culturelle islamique louperivoise,Québec,,"174 Rue Lafontaine, Rivière-du-Loup, QC",Rivière-du-Loup,Bas-Saint-Laurent,,,,,
Assuna Annabawiyah Mosque,Québec,http://assuna.org/,"7220 Rue Hutchison, Montreal, Quebec",Montréal,Montréal Region,,,,,
Aylmer's Mosque,Québec,https://www.mosque-aylmer.ca/,"21 Rue Park, Gatineau, QC",Gatineau,Outaouais,,,,,
Badr Islamic Centre of Saint-Leonard,Québec,http://www.centrebadr.net/,8625 Boul Langelier,Saint-Léonard,Montréal Region,,,,,
Canadian Institute of Islamic Civilization CIIC - MAC,Québec,,615 Rue Belmont,Montréal,Montréal Region,,,,,
Canadian Islamic Centre (Al-Jamieh),Québec,,"241 Av. Anselme-Lavigne, Dollard-des-Ormeaux, QC H9A 3H6",Dollard-des-Ormeaux,Montréal Region,,,,,
CCMI - Centre Communautaire Musulman IQRA,Québec,,"960 Bd Curé-Labelle, Laval, QC H7V 2V5",Laval,Laval Region,,,,,
Centre Aljisr,Québec,,3005 Bd Cartier O,Laval,Laval Region,,,,,
Centre Assalam De Laval Est,Québec,http://centre-assalam.com/,1245 Montée du Moulin,Laval,Laval Region,,,,,
Centre Communautaire Al-Hidaya,Québec,,5955 Rue Hochelaga,Montréal,Montréal Region,,,,,
Centre Communautaire Al-Imane (CCAI),Québec,https://ccai-stjean.org/,"1073 Bd du Séminaire N, Saint-Jean-sur-Richelieu, QC",Saint-Jean-sur-Richelieu,Montérégie,,,,,
Centre Communautaire El Mouahidine de Chibougamau,Québec,,"359 3e Rue bureau 2, Chibougamau, Quebec",Chibougamau,Nord-du-Québec,,,,,
Centre Communautaire Musulman de Longueuil,Québec,https://ccmlongueuil.ca/,1398 Ch De Chambly,Longueuil,Longueuil Region,,,,,
Centre Culturel Islamique de Drummondville,Québec,http://www.ccmdrummond.com/,"127 Av. 12e, Drummondville, QC J2B 2X4",Drummondville,Centre-du-Québec,,,,,
Centre Culturel Islamique De La Mauricie,Québec,http://www.ccim3r.ca/,185 Rue Frontenac,Trois-Rivières,Mauricie,,,,,
Centre Culturel Islamique de la Pocatiere,Québec,https://ccilapoc.ca/,"502-A 4e Avenue Painchaud, La Pocatière, QC G0R 1Z0",La Pocatière,Bas-Saint-Laurent,,,,,
Centre Culturel Islamique de Sherbrooke,Québec,https://www.mosque-annour.org/,3232 Rue Richard,Sherbrooke,Sherbrooke Region,,,,,
Centre Culturel Islamique de Vaudreuil-Soulanges,Québec,https://islamvaudreuil.ca/,100 Boulevard Harwood,Vaudreuil-Dorion,Vaudreuil-Soulanges Region,,,,,
Centre Culturel Musulman de Shawinigan,Québec,,"2263 Av. Saint-Marc, Shawinigan, QC",Shawinigan,Mauricie,,,,,
Centre Islamique de Verdun,Québec,https://centres.macnet.ca/civ/fr/,"4538 Rue de Verdun, Montréal, QC",Montréal,Montréal Region,,,,,
Centre Rayan (Mosque),Québec,https://centrerayan.ca/,"110 Bd Curé-Labelle #9, Sainte-Thérèse, QC ",Montréal,Montréal Region,,,,,
Community Center Siddiquia,Québec,https://jamiasiddiquialaval.com/,1655 Rue du Couvent (also 4021 Blvd Saint-Martin O),Laval,Laval Region,,,,,
Dar Al-Ulum Montreal,Québec,http://www.daralulummontreal.com/,"750 Boulevard Henri-Bourassa E #1, Montreal, Quebec H2C 1E6",Montréal,Montréal Region,,,,,
Dhoun-Nourain Mosque,Québec,http://salafidemontreal.com/,"5275 Ch. Queen Mary 2e étage, Montréal, QC",Montréal,Montréal Region,,,,,
Drummondville Islamic Centre,Québec,https://centreislamiquededrummondville.com/,"480 Rue Saint-Jean, Drummondville, QC J2C 0J8",Drummondville,Centre-du-Québec,,,,,
Islamic Center Al-Houda,Québec,,9935 Av Lausanne,Montréal-Nord,Montréal Region,,,,,
Islamic Center of Quebec - El Markaz Islami,Québec,https://www.icqmontreal.com/,2520 Chemin Laval,Saint-Laurent,Montréal Region,,,,,
Islamic Community Center,Québec,https://iccbrossard.com/,5905 Grande Allée,Brossard,Brossard Region,,,,,
Islamic cultural Centre,Québec,https://mosqueegranby.com/,"317 Rue Racine, Granby, QC J2G 3B6",Granby,Montérégie,,,,,
Islamic Services of Quebec,Québec,https://isqc.ca/,"2038 Boul. Saint-Laurent, Montréal, QC H2X 2T2",Montréal,Montréal Region,,,,,
Jamia Islamia,Québec,,2144 Rue Sainte-Hélène,Longueuil,Longueuil Region,,,,,
Joliette Mosque,Québec,,1260 Rue Notre Dame,Joliette,Joliette Region,,,,,
Khadijah Mosque,Québec,https://khadijahmtl.org/,2385 Centre St,Montréal,Montréal Region,,,,,
Laval Islamic Cultural Centre,Québec,https://ccil-kbw.com/en/,"1330 Rue Antonio, Laval, QC H7V 3N4",Laval,Laval Region,,,,,
Le Centre Islamique Maskoutain,Québec,http://cimaskoutain.com/,"2340 Av. Saint-Joseph, Saint-Hyacinthe, QC J2S 5L5",Saint-Hyacinthe,Montérégie,,,,,
Mariam Mosque,Québec,https://cio-oic.ca/,"355 Rue Notre Dame, Gatineau, QC J8P 1L4",Gatineau,Outaouais,,,,,
Masjid Al Huda,Québec,https://ccalhuda.ca/,9540 Boul Gouin O,Pierrefonds-Roxboro,Montréal Region,,,,,
Masjid Al Itissam,Québec,https://www.al-itissam.org/,600 Boulevard des Laurentides,Laval,Laval Region,,,,,
Masjid Al-Forqane,Québec,https://alforqanelaval.ca/,"3390 Bd Sainte-Rose, Laval, QC H7R 3R2",Laval,Laval Region,,,,,
Masjid Al-Rahma (CC MAC QC),Québec,https://mawaqit.net/fr/rahma-mac-qc,"621 Boulevard Charest E, Québec, QC G1K 3J5",Québec City,Capitale-Nationale,,,,,
Masjid Alfalah,Québec,https://masjidalfalah.ca/,1885 Rue Nielsen,Saint-Hubert,Longueuil Region,,,,,
Masjid Ammar & Centre Communautaire des Orchidees,Québec,https://canadianmuslimfamily.com/,909 Mnt Gravel,Laval,Laval Region,,,,,
Masjid Makkah-Al-Mukkaramah,Québec,http://masjidmakkah.com/,11900 Boul Gouin O,Pierrefonds-Roxboro,Montréal Region,,,,,
Mosque Aman Laval,Québec,https://initiatives-musulmanes.com/dalilook/directory/centre-aman-laval/,"35 Bd Curé-Labelle, Laval, QC H7L 2Y8",Laval,Laval Region,,,,,
,Québec,,,,,,,,,
Mosquee Al Ansar,Québec,http://alansar.ca/,"221 Boulevard des Laurentides, Laval, Quebec H7G 2T7",Laval,Laval Region,,,,,
Mosquee Al Athar,Québec,,"Casse-Croute Moka plus, 1098 4e Avenue, Québec, QC G1J 3B3",Québec City,Capitale-Nationale,,,,,
Mosquee Al falah Ahuntsic,Québec,https://centrealfalah.ca/,1 Rue Legendre O,Montréal,Montréal Region,,,,,
Mosquee Al Qods,Québec,,2465 Rue Bélanger,Montréal,Montréal Region,,,,,
Mosquee Al-Omah Al-Islamiah,Québec,,1245 St Dominique St,Montréal,Montréal Region,,,,,
Mosquee Bel Agir,Québec,http://www.belagir.ca/,"8390 Rue St-Hubert, Montréal, QC H2P 1Z3",Montréal,Montréal Region,,,,,
Mosquee de la Capitale,Québec,http://www.mosqueedelacapitale.com/,270 Rue Marie-de-l'Incarnation,Québec City,Capitale-Nationale,,,,,
Mosquee de Quebec a Limoilou,Québec,http://www.mosqueedequebec.com/,1287 1re Av.,Québec City,Capitale-Nationale,,,,,
Mosquee el houda Quebec,Québec,http://mawaqit.net/fr/ich-mtl,"9935 Av. Lausanne, Montréal-Nord, QC H1H 5A6",Montréal-Nord,Montréal Region,,,,,
Mosquee Elfath,Québec,http://www.elfath.ca/,6130 Jean-Talon St E,Montréal,Montréal Region,,,,,
Mosquee Imam Warch,Québec,http://imamwarch.com/,"3210 Boulevard Henri-Bourassa E, Montréal-Nord, Quebec H1H 5T1",Montréal-Nord,Montréal Region,,,,,
Mosquee Madani,Québec,,12080 Blvd Marcel-Laurin,Montréal,Montréal Region,,,,,
Mosquee Minaret du Nord,Québec,http://www.manaratalchamal.org/,"293 Rue Labelle, Saint-Jérôme, QC J7Z 5L2",Saint-Jérôme,Laurentides,,,,,
Noor Al Islam Masjid,Québec,http://www.ammn.ca/,"10395 Av. Pelletier, Montréal-Nord, QC H1H 2N",Montréal-Nord,Montréal Region,,,,,
Organization Of The Masjid of Noor-e-Madina,Québec,,"692 Rue Jean-Talon O, Montréal, QC H3N 1R8",Montréal,Montréal Region,,,,,
Outaouais Islamic Centre,Québec,http://cio-oic.ca/,"4 Rue Lois, Gatineau, QC J8Y 3R2",Gatineau,Outaouais,,,,,
Premier Masjid altawheed,Québec,https://www.altawhid.ca/,"6130 Rue Jean-Talon E, Saint-Léonard, QC H1S 1M7",Montréal,Montréal Region,,,,,
Quebec Islamic Cultural Centre,Québec,http://www.cciq.org/,2877 chemin Sainte-Foy,Québec City,Capitale-Nationale,,,,,
Rimouski Islamic Centre,Québec,,"111 Rue St Jean Baptiste E, Rimouski, QC G5L 3C4",Rimouski,Bas-Saint-Laurent,,,,,
Taiba Mosque,Québec,http://www.masjidtaiba.com/,"3560 Ave Van Horne, Montreal, Quebec H3S 1R4",Montréal,Montréal Region,,,,,
Masjid Minhaj Sunnah Nabawiyyah - مسجد منهاج السنة النبوية,Québec,http://infomtj.ca/,"3450 Bd du Chanoine Moreau, Trois-Rivières, QC G8Y 0K2",Trois-Rivières,Mauricie,,,,,
Abu Bakr Al-Siddiq Masjid,Saskatchewan,https://iasmoosejaw.com/,73 Lancaster Rd,Moose Jaw,Central Saskatchewan,,,,,
Al Noor Masjid,Saskatchewan,,1025 Winnipeg St,Regina,Regina,,,,,
Baitul Mukkarram Islamic Association Inc,Saskatchewan,https://baitulmukarram.org/,1405 Albert St (also 405 Albert St),Regina,Regina,,,,,
Darul Falah Islamic Centre,Saskatchewan,https://dficregina.com/,1876 Wallace Street,Regina,Regina,,,,,
Estevan Islamic Center,Saskatchewan,,907 4th Street,Estevan,Estevan,,,,,
Islamic Association of Saskatchewan (IAS),Saskatchewan,https://islamiccenter.sk.ca/,222 Copland Crescent,Saskatoon,Saskatoon,,,,,
Islamic Association Of Saskatchewan (Regina) Inc,Saskatchewan,https://www.iaosregina.com/,3273 Montague Street,Regina,Regina,,,,,
Islamic Association of Saskatchewan Yorkton,Saskatchewan,https://www.iaosyorkton.com/,17 1st Ave N,Yorkton,Yorkton,,,,,
Islamic Centre (North Battleford),Saskatchewan,,"1761 99 St, North Battleford, SK S9A 0R6",North Battleford,North Battleford,,,,,
Islamic Centre of Swift Current,Saskatchewan,,"25 Central Ave S, Swift Current, SK S9H 3E7",Swift Current,Swift Current,,,,,
Islamic Society of Regina Masjid,Saskatchewan,https://isrregina.ca/,5048 Sherwood Dr,Regina,Regina,,,,,
Jamia Riyadul Jannah,Saskatchewan,https://jrjsk.ca/,2233 Hanselman Ave,Saskatoon,Saskatoon,,,,,
Lloydislamiccenter Islamic Foundation,Saskatchewan,https://lloydminsterislamiccenter.com/,"4610 49 Ave, Lloydminster, SK S9V 0T2",Lloydminster,Lloydminster,,,,,
